20140401	1020.95	1020.95
20140402	793.85	907.4
20140403	709.37	841.39
20140404	617.66	785.458
20140408	963.61	821.088
20140409	938.11	804.52
20140410	950.29	835.808
20140411	760.65	846.064
20140414	878.04	898.14
20140415	881.67	881.752
20140416	798.11	853.752
20140417	809.15	825.524
20140418	720.41	817.476
20140421	925.08	826.884
20140422	996.36	849.822
20140423	1083.26	906.852
20140424	1147.53	974.528
20140425	1041.28	1038.702
20140428	1242.8	1102.246
20140429	1161.43	1135.26
20140430	1179.36	1154.48
20140505	836.85	1092.344
20140506	852.59	1054.606
20140507	738.99	953.844
20140508	786.88	878.934
20140509	757.94	794.65
20140512	1155.43	858.366
20140513	1066.35	901.118
20140514	997.49	952.818
20140515	1057.41	1006.924
20140516	920.47	1039.43
20140519	1142.46	1036.836
20140520	877.9	999.146
20140521	783.87	956.422
20140522	760.05	896.95
20140523	745.39	861.934
20140526	924.77	818.396
20140527	951.54	833.124
20140528	1061.92	888.734
20140529	1032.28	943.18
20140530	1111.46	1016.394
20140603	1096.15	1050.67
20140604	966.49	1053.66
20140605	890.53	1019.382
20140606	771.69	967.264
20140609	868.97	918.766
20140610	848.63	869.262
20140611	811.3	838.224
20140612	792.63	818.644
20140613	886.43	841.592
20140616	557.51	779.3
20140617	789.23	767.42
20140618	1164.66	838.092
20140619	1176.53	914.872
20140620	1107.23	959.032
20140623	1154.92	1078.514
20140624	1049.36	1130.54
20140625	1082.35	1114.078
20140626	883.2	1055.412
20140627	806.19	995.204
20140630	1248.38	1013.896
20140701	1367.46	1077.516
20140702	1188.86	1098.818
20140703	1099.61	1142.1
20140704	941.37	1169.136
20140707	983.53	1116.166
20140708	1003.97	1043.468
20140709	1208.29	1047.354
20140710	1259.13	1079.258
20140711	868.57	1064.698
20140714	971.91	1062.374
20140715	946.78	1050.936
20140716	849.09	979.096
20140717	814.36	890.142
20140718	805.44	877.516
20140721	797.32	842.598
20140722	908.69	834.98
20140723	1113.8	887.922
20140724	1057.52	936.554
20140725	768.94	929.254
20140728	876.22	945.034
20140729	821.72	927.64
20140730	888.64	882.608
20140731	894.23	849.95
20140801	853.86	866.934
20140804	683.72	828.434
20140805	700.24	804.138
20140806	731.89	772.788
20140807	746.26	743.194
20140808	805.14	733.45
20140811	702.3	737.166
20140812	823.24	761.766
20140813	940.81	803.55
20140814	872.31	828.76
20140815	773.29	822.39
20140818	761.87	834.304
20140819	715.81	812.818
20140820	703.02	765.26
20140821	675.54	725.906
20140822	671.37	705.522
20140825	824.42	718.032
20140826	889.55	752.78
20140827	950.46	802.268
20140828	1086.19	884.398
20140829	970.13	944.15
20140901	634	906.066
20140902	618.39	851.834
20140903	716.93	805.128
20140904	713.91	730.672
20140905	856.56	707.958
20140909	907.71	762.7
20140910	796.68	798.358
20140911	776.75	810.322
20140912	640.9	795.72
20140915	712.56	766.92
20140916	884.38	762.254
20140917	865.82	776.082
20140918	791.9	779.112
20140919	637.94	778.52
20140922	677.56	771.52
20140923	783.48	751.34
20140924	1017.24	781.624
20140925	983.01	819.846
20140926	1008.89	894.036
20140929	715.39	901.602
20140930	996.42	944.19
20141008	1174.15	975.572
20141009	1065.54	992.078
20141010	950.35	980.37
20141013	699.86	977.264
20141014	621.12	902.204
20141015	674.07	802.188
20141016	663.11	721.702
20141017	773.59	686.35
20141020	569.82	660.342
20141021	527.67	641.652
20141022	629.9	632.818
20141023	979.12	696.02
20141024	849.21	711.144
20141027	672.08	731.596
20141028	706.79	767.42
20141029	672.81	776.002
20141030	730.58	726.294
20141031	858.8	728.212
20141103	658.92	725.58
20141104	673.31	718.884
20141105	737.24	731.77
20141106	654.14	716.482
20141107	754.36	695.594
20141110	783.64	720.538
20141111	808.15	747.506
20141112	677.55	735.568
20141113	765.01	757.742
20141114	725.82	752.034
20141117	709.02	737.11
20141118	592.88	694.056
20141119	600.72	678.69
20141120	922.77	710.242
20141121	1139.88	793.054
20141124	1301.83	911.616
20141125	1125.15	1018.07
20141126	1059.31	1109.788
20141127	1056.87	1136.608
20141128	1123.07	1133.246
20141201	985.43	1069.966
20141202	900.48	1025.032
20141203	1205.59	1054.288
20141204	1433.3	1129.574
20141205	1712.51	1247.462
20141208	1366.43	1323.662
