title,score,year,people
三毛流浪记,8.5,1984,2294
馒头日记,8.5,2013,574
苍穹之昴,8.5,2010,4513
国防生,8.5,2013,758
医者仁心,8.5,2010,1522
生活有点甜,8.5,2016,866
小小飞虎队,8.5,1995,696
命案十三宗,8.5,2000,644
原乡,8.5,2014,752
只要你过得比我好,8.5,1994,1884
推拿,8.5,2013,1779
皮皮鲁和鲁西西,8.5,1987,473
恰同学少年,8.5,2007,11344
腾空的日子,8.5,2014,3365
人参王国,8.5,1997,8885
大清盐商,8.5,2014,3451
凹凸世界 第一季,8.5,2015,412
瑶玲啊瑶玲,8.5,2003,1273
与青春有关的日子,8.4,2006,16907
世纪人生：董竹君传奇,8.5,1999,605
红十字方队,8.5,1997,3825
说的就是你,8.5,2014,1014
老农民,8.4,2014,3208
那年那兔那些事  第三季,8.4,2016,2003
少年天子,8.4,2003,8363
情有千千劫,8.4,2002,788
宝贝女儿好妈妈,8.5,2004,848
高纬度战栗,8.4,2007,711
神探狄仁杰,8.4,2004,10394
相思树,8.4,2008,2690
记忆之城,8.4,2006,750
河神,8.4,2017,48744
誓言无声,8.4,2002,1057
上海一家人,8.4,1991,2075
少年有点酷,8.4,2017,1729
妙先生之火泽睽笑人传,8.4,2014,1265
沂蒙,8.5,2009,346
女生日记之做决定事务所,8.4,2015,510
校园先锋,8.4,1996,667
炊事班的故事,8.4,2002,16426
风车,8.4,2011,3335
家有九凤,8.4,2006,3926
暖春,8.4,2008,4184
小米的森林 Mee's Forest,8.4,2009,1525
幻镜诺德琳,8.4,2017,2677
追,8.4,2007,1027
镖门,8.4,2014,6807
炊事班的故事2,8.4,2004,7900
爱情公寓,8.4,2009,75530
逆水寒,8.4,2004,6965
遇见王沥川,8.4,2013,32832
仙剑奇侠传,8.4,2005,59547
镇魂街 第一季,8.4,2016,7680
黑鸟,8.4,2004,689
关中匪事,8.4,2004,1993
成吉思汗,8.4,2000,1578
北京人在纽约,8.4,1993,20877
隋唐英雄传,8.4,2000,486
毛骗 第一季,8.4,2010,10910
老板来了,8.4,2016,327
天娇,8.4,2003,681
手机,8.3,2010,12007
来不及说我爱你,8.3,2010,28331
黑猫警长,8.3,1984,47798
爱是一颗幸福的子弹,8.3,2007,2164
水浒传,8.3,1998,23237
伪装者,8.3,2015,76675
历史的天空,8.3,2004,2753
小太极,8.3,1999,624
小龙人,8.3,1992,34424
过把瘾,8.3,1994,10022
刑警本色,8.3,1999,1778
一人之下 第一季,8.3,2016,3850
Q版三国,8.3,2003,2821
我是你的喋喋phone,8.3,2015,361
大浴女,8.3,2007,320
少年锦衣卫,8.3,2017,5975
人活一张脸,8.3,2008,860
人民的名义,8.3,2017,169356
