date,title,score,people
1995,七宗罪,8.7,429710
1994,饮食男女,9.0,192068
1994,狮子王,8.9,277164
2006,被嫌弃的松子的一生,8.9,275959
2006,致命魔术,8.8,335830
2013,彗星来的那一夜,8.4,156799
2007,爱在暹罗,8.3,211662
1998,中央车站,8.7,72998
1995,廊桥遗梦,8.5,92739
2010,告白,8.7,332226
2012,狩猎,9.0,121536
2003,加勒比海盗,8.6,332555
2014,布达佩斯大饭店,8.7,297476
2005,断背山,8.6,309363
1994,燃情岁月,8.8,145487
2003,真爱至上,8.5,299378
1988,雨人,8.6,203828
2006,红辣椒,8.8,124681
2015,小森林 冬春篇,8.9,103099
2000,梦之安魂曲,8.7,106996
2004,可可西里,8.6,123163
1988,碧海蓝天,8.7,105143
2007,地球上的星星,8.8,79684
2012,蝙蝠侠：黑暗骑士崛起,8.5,280760
2011,萤火之森,8.7,148374
2010,玩具总动员3,8.7,185652
2001,人工智能,8.6,182653
1953,东京物语,9.2,47590
2012,被解救的姜戈,8.5,247548
2007,荒野生存,8.6,121489
1991,末路狂花,8.7,98974
1942,卡萨布兰卡,8.6,118677
1991,终结者2：审判日,8.5,134034
1992,闻香识女人,8.9,318615
2005,V字仇杀队,8.8,411273
2004,哈尔的移动城堡,8.9,344746
1974,教父2,9.1,184623
2001,美丽心灵,8.9,301769
2002,指环王2：双塔奇兵,8.9,267918
2014,模仿游戏,8.5,238098
2002,蓝色大门,8.3,263263
2002,爱·回家,9.0,45051
2012,无敌破坏王,8.6,175797
2003,大卫·戈尔的一生,8.7,84150
1995,勇敢的心,8.8,291984
1997,小鞋子,9.2,134034
1990,剪刀手爱德华,8.7,476605
1965,音乐之声,8.9,228323
1994,低俗小说,8.7,327767
1987,末代皇帝,8.9,157045
1995,爱在黎明破晓前,8.7,213191
2009,阿凡达,8.6,514858
1936,摩登时代,9.2,84627
1993,青蛇,8.4,207685
1996,燕尾蝶,8.6,104404
2001,指环王1：魔戒再现,8.9,299168
1989,死亡诗社,8.9,273461
1995,情书,8.8,369722
2016,疯狂动物城,9.2,482915
2008,入殓师,8.8,314366
2008,本杰明·巴顿奇事,8.7,386076
1991,沉默的羔羊,8.7,346444
2013,素媛,9.1,171211
1999,黑客帝国,8.8,274464
1998,拯救大兵瑞恩,8.8,231277
2004,蝴蝶效应,8.7,373990
2000,西西里的美丽传说,8.7,338509
2009,玛丽和马克思,8.9,229490
1994,肖申克的救赎,9.6,870302
1993,霸王别姬,9.5,625323
1994,这个杀手不太冷,9.4,832527
1994,阿甘正传,9.4,709880
1997,美丽人生,9.5,413993
2001,千与千寻,9.2,661184
1993,辛德勒的名单,9.4,381619
1997,泰坦尼克号,9.2,652524
2010,盗梦空间,9.2,760826
2008,机器人总动员,9.3,498054
1998,海上钢琴师,9.2,598271
2009,三傻大闹宝莱坞,9.1,672528
2009,忠犬八公的故事,9.2,454094
2004,放牛班的春天,9.2,451508
1995,大话西游之大圣娶亲,9.2,487150
1988,龙猫,9.1,417569
1972,教父,9.2,342961
1998,楚门的世界,9.1,452936
1939,乱世佳人,9.2,270850
1988,天堂电影院,9.1,309151
2011,触不可及,9.1,365195
2006,当幸福来敲门,8.9,537521
2011,熔炉,9.2,250931
1999,搏击俱乐部,9.0,403677
2002,无间道,9.0,397665
